tourney,id,winner_name,wins
Indian Wells Masters 1990,1,Stefan Edberg,1
Indian Wells Masters 1990,1,Andre Agassi,0
Indian Wells Masters 1990,1,Andrei Chesnokov,0
Indian Wells Masters 1990,1,Juan Aguilera,0
Indian Wells Masters 1990,1,Thomas Muster,0
Indian Wells Masters 1990,1,Michael Chang,0
Indian Wells Masters 1990,1,Boris Becker,0
Indian Wells Masters 1990,1,Jim Courier,0
Indian Wells Masters 1990,1,Sergi Bruguera,0
Indian Wells Masters 1990,1,Karel Novacek,0
Indian Wells Masters 1990,1,Emilio Sanchez,0
Indian Wells Masters 1990,1,Guy Forget,0
Indian Wells Masters 1990,1,Pete Sampras,0
Indian Wells Masters 1990,1,Goran Ivanisevic,0
Indian Wells Masters 1990,1,Michael Stich,0
Indian Wells Masters 1990,1,Mikael Pernfors,0
Indian Wells Masters 1990,1,Andrei Medvedev,0
Indian Wells Masters 1990,1,Roberto Carretero,0
Indian Wells Masters 1990,1,Wayne Ferreira,0
Indian Wells Masters 1990,1,Thomas Enqvist,0
Indian Wells Masters 1990,1,Marcelo Rios,0
Indian Wells Masters 1990,1,Alex Corretja,0
Indian Wells Masters 1990,1,Chris Woodruff,0
Indian Wells Masters 1990,1,Petr Korda,0
Indian Wells Masters 1990,1,Carlos Moya,0
Indian Wells Masters 1990,1,Albert Costa,0
Indian Wells Masters 1990,1,Patrick Rafter,0
Indian Wells Masters 1990,1,Richard Krajicek,0
Indian Wells Masters 1990,1,Greg Rusedski,0
Indian Wells Masters 1990,1,Mark Philippoussis,0
Indian Wells Masters 1990,1,Gustavo Kuerten,0
Indian Wells Masters 1990,1,Thomas Johansson,0
Indian Wells Masters 1990,1,Cedric Pioline,0
Indian Wells Masters 1990,1,Magnus Norman,0
Indian Wells Masters 1990,1,Marat Safin,0
Indian Wells Masters 1990,1,Juan Carlos Ferrero,0
Indian Wells Masters 1990,1,Albert Portas,0
Indian Wells Masters 1990,1,Andrei Pavel,0
Indian Wells Masters 1990,1,Tommy Haas,0
Indian Wells Masters 1990,1,Sebastien Grosjean,0
Indian Wells Masters 1990,1,Lleyton Hewitt,0
Indian Wells Masters 1990,1,Roger Federer,0
Indian Wells Masters 1990,1,Guillermo Canas,0
Indian Wells Masters 1990,1,Felix Mantilla,0
Indian Wells Masters 1990,1,Guillermo Coria,0
Indian Wells Masters 1990,1,Andy Roddick,0
Indian Wells Masters 1990,1,Tim Henman,0
Indian Wells Masters 1990,1,Rafael Nadal,0
Indian Wells Masters 1990,1,Tomas Berdych,0
Indian Wells Masters 1990,1,Tommy Robredo,0
Indian Wells Masters 1990,1,Nikolay Davydenko,0
Indian Wells Masters 1990,1,Novak Djokovic,0
Indian Wells Masters 1990,1,David Nalbandian,0
Indian Wells Masters 1990,1,Andy Murray,0
Indian Wells Masters 1990,1,Jo-Wilfried Tsonga,0
Indian Wells Masters 1990,1,Ivan Ljubicic,0
Indian Wells Masters 1990,1,Robin Soderling,0
Indian Wells Masters 1990,1,David Ferrer,0
Indian Wells Masters 1990,1,Stan Wawrinka,0
Indian Wells Masters 1990,1,Marin Cilic,0
Indian Wells Masters 1990,1,Alexander Zverev,0
Indian Wells Masters 1990,1,Grigor Dimitrov,0
Indian Wells Masters 1990,1,Jack Sock,0
Indian Wells Masters 1990,1,Juan Martin del Potro,0
Indian Wells Masters 1990,1,John Isner,0
Indian Wells Masters 1990,1,Karen Khachanov,0
Indian Wells Masters 1990,1,Dominic Thiem,0
Indian Wells Masters 1990,1,Fabio Fognini,0
Indian Wells Masters 1990,1,Daniil Medvedev,0
Indian Wells Masters 1990,1,Hubert Hurkacz,0
Miami Masters 1990,2,Stefan Edberg,1
Miami Masters 1990,2,Andre Agassi,1
Miami Masters 1990,2,Andrei Chesnokov,0
Miami Masters 1990,2,Juan Aguilera,0
Miami Masters 1990,2,Thomas Muster,0
Miami Masters 1990,2,Michael Chang,0
Miami Masters 1990,2,Boris Becker,0
Miami Masters 1990,2,Jim Courier,0
Miami Masters 1990,2,Sergi Bruguera,0
Miami Masters 1990,2,Karel Novacek,0
Miami Masters 1990,2,Emilio Sanchez,0
Miami Masters 1990,2,Guy Forget,0
Miami Masters 1990,2,Pete Sampras,0
Miami Masters 1990,2,Goran Ivanisevic,0
Miami Masters 1990,2,Michael Stich,0
Miami Masters 1990,2,Mikael Pernfors,0
Miami Masters 1990,2,Andrei Medvedev,0
Miami Masters 1990,2,Roberto Carretero,0
Miami Masters 1990,2,Wayne Ferreira,0
Miami Masters 1990,2,Thomas Enqvist,0
Miami Masters 1990,2,Marcelo Rios,0
Miami Masters 1990,2,Alex Corretja,0
Miami Masters 1990,2,Chris Woodruff,0
Miami Masters 1990,2,Petr Korda,0
Miami Masters 1990,2,Carlos Moya,0
Miami Masters 1990,2,Albert Costa,0
Miami Masters 1990,2,Patrick Rafter,0
Miami Masters 1990,2,Richard Krajicek,0
Miami Masters 1990,2,Greg Rusedski,0
Miami Masters 1990,2,Mark Philippoussis,0
Miami Masters 1990,2,Gustavo Kuerten,0
Miami Masters 1990,2,Thomas Johansson,0
Miami Masters 1990,2,Cedric Pioline,0
Miami Masters 1990,2,Magnus Norman,0
Miami Masters 1990,2,Marat Safin,0
Miami Masters 1990,2,Juan Carlos Ferrero,0
Miami Masters 1990,2,Albert Portas,0
Miami Masters 1990,2,Andrei Pavel,0
Miami Masters 1990,2,Tommy Haas,0
Miami Masters 1990,2,Sebastien Grosjean,0
Miami Masters 1990,2,Lleyton Hewitt,0
Miami Masters 1990,2,Roger Federer,0
Miami Masters 1990,2,Guillermo Canas,0
Miami Masters 1990,2,Felix Mantilla,0
Miami Masters 1990,2,Guillermo Coria,0
