year,id,winner_name,wins,rank,wins_lbl
Indian Wells Masters 1990,1,Stefan Edberg,1,1, 1
Indian Wells Masters 1990,1,Andre Agassi,0,2, 0
Indian Wells Masters 1990,1,Andrei Chesnokov,0,3, 0
Indian Wells Masters 1990,1,Juan Aguilera,0,4, 0
Indian Wells Masters 1990,1,Thomas Muster,0,5, 0
Indian Wells Masters 1990,1,Michael Chang,0,6, 0
Indian Wells Masters 1990,1,Boris Becker,0,7, 0
Indian Wells Masters 1990,1,Jim Courier,0,8, 0
Indian Wells Masters 1990,1,Sergi Bruguera,0,9, 0
Indian Wells Masters 1990,1,Karel Novacek,0,10, 0
Indian Wells Masters 1990,1,Emilio Sanchez,0,11, 0
Indian Wells Masters 1990,1,Guy Forget,0,12, 0
Indian Wells Masters 1990,1,Pete Sampras,0,13, 0
Indian Wells Masters 1990,1,Goran Ivanisevic,0,14, 0
Indian Wells Masters 1990,1,Michael Stich,0,15, 0
Miami Masters 1990,2,Stefan Edberg,1,1, 1
Miami Masters 1990,2,Andre Agassi,1,2, 1
Miami Masters 1990,2,Andrei Chesnokov,0,3, 0
Miami Masters 1990,2,Juan Aguilera,0,4, 0
Miami Masters 1990,2,Thomas Muster,0,5, 0
Miami Masters 1990,2,Michael Chang,0,6, 0
Miami Masters 1990,2,Boris Becker,0,7, 0
Miami Masters 1990,2,Jim Courier,0,8, 0
Miami Masters 1990,2,Sergi Bruguera,0,9, 0
Miami Masters 1990,2,Karel Novacek,0,10, 0
Miami Masters 1990,2,Emilio Sanchez,0,11, 0
Miami Masters 1990,2,Guy Forget,0,12, 0
Miami Masters 1990,2,Pete Sampras,0,13, 0
Miami Masters 1990,2,Goran Ivanisevic,0,14, 0
Miami Masters 1990,2,Michael Stich,0,15, 0
Monte Carlo Masters 1990,3,Stefan Edberg,1,1, 1
Monte Carlo Masters 1990,3,Andre Agassi,1,2, 1
Monte Carlo Masters 1990,3,Andrei Chesnokov,1,3, 1
Monte Carlo Masters 1990,3,Juan Aguilera,0,4, 0
Monte Carlo Masters 1990,3,Thomas Muster,0,5, 0
Monte Carlo Masters 1990,3,Michael Chang,0,6, 0
Monte Carlo Masters 1990,3,Boris Becker,0,7, 0
Monte Carlo Masters 1990,3,Jim Courier,0,8, 0
Monte Carlo Masters 1990,3,Sergi Bruguera,0,9, 0
Monte Carlo Masters 1990,3,Karel Novacek,0,10, 0
Monte Carlo Masters 1990,3,Emilio Sanchez,0,11, 0
Monte Carlo Masters 1990,3,Guy Forget,0,12, 0
Monte Carlo Masters 1990,3,Pete Sampras,0,13, 0
Monte Carlo Masters 1990,3,Goran Ivanisevic,0,14, 0
Monte Carlo Masters 1990,3,Michael Stich,0,15, 0
Hamburg Masters 1990,4,Stefan Edberg,1,1, 1
Hamburg Masters 1990,4,Andre Agassi,1,2, 1
Hamburg Masters 1990,4,Andrei Chesnokov,1,3, 1
Hamburg Masters 1990,4,Juan Aguilera,1,4, 1
Hamburg Masters 1990,4,Thomas Muster,0,5, 0
Hamburg Masters 1990,4,Michael Chang,0,6, 0
Hamburg Masters 1990,4,Boris Becker,0,7, 0
Hamburg Masters 1990,4,Jim Courier,0,8, 0
Hamburg Masters 1990,4,Sergi Bruguera,0,9, 0
Hamburg Masters 1990,4,Karel Novacek,0,10, 0
Hamburg Masters 1990,4,Emilio Sanchez,0,11, 0
Hamburg Masters 1990,4,Guy Forget,0,12, 0
Hamburg Masters 1990,4,Pete Sampras,0,13, 0
Hamburg Masters 1990,4,Goran Ivanisevic,0,14, 0
Hamburg Masters 1990,4,Michael Stich,0,15, 0
Rome Masters 1990,5,Stefan Edberg,1,1, 1
Rome Masters 1990,5,Andre Agassi,1,2, 1
Rome Masters 1990,5,Andrei Chesnokov,1,3, 1
Rome Masters 1990,5,Juan Aguilera,1,4, 1
Rome Masters 1990,5,Thomas Muster,1,5, 1
Rome Masters 1990,5,Michael Chang,0,6, 0
Rome Masters 1990,5,Boris Becker,0,7, 0
Rome Masters 1990,5,Jim Courier,0,8, 0
Rome Masters 1990,5,Sergi Bruguera,0,9, 0
Rome Masters 1990,5,Karel Novacek,0,10, 0
Rome Masters 1990,5,Emilio Sanchez,0,11, 0
Rome Masters 1990,5,Guy Forget,0,12, 0
Rome Masters 1990,5,Pete Sampras,0,13, 0
Rome Masters 1990,5,Goran Ivanisevic,0,14, 0
Rome Masters 1990,5,Michael Stich,0,15, 0
Canada Masters 1990,6,Stefan Edberg,1,1, 1
Canada Masters 1990,6,Andre Agassi,1,2, 1
Canada Masters 1990,6,Andrei Chesnokov,1,3, 1
Canada Masters 1990,6,Juan Aguilera,1,4, 1
Canada Masters 1990,6,Thomas Muster,1,5, 1
Canada Masters 1990,6,Michael Chang,1,6, 1
Canada Masters 1990,6,Boris Becker,0,7, 0
Canada Masters 1990,6,Jim Courier,0,8, 0
Canada Masters 1990,6,Sergi Bruguera,0,9, 0
Canada Masters 1990,6,Karel Novacek,0,10, 0
Canada Masters 1990,6,Emilio Sanchez,0,11, 0
Canada Masters 1990,6,Guy Forget,0,12, 0
Canada Masters 1990,6,Pete Sampras,0,13, 0
Canada Masters 1990,6,Goran Ivanisevic,0,14, 0
Canada Masters 1990,6,Michael Stich,0,15, 0
Cincinnati Masters 1990,7,Stefan Edberg,2,1, 2
Cincinnati Masters 1990,7,Andre Agassi,1,2, 1
Cincinnati Masters 1990,7,Andrei Chesnokov,1,3, 1
Cincinnati Masters 1990,7,Juan Aguilera,1,4, 1
Cincinnati Masters 1990,7,Thomas Muster,1,5, 1
Cincinnati Masters 1990,7,Michael Chang,1,6, 1
Cincinnati Masters 1990,7,Boris Becker,0,7, 0
Cincinnati Masters 1990,7,Jim Courier,0,8, 0
Cincinnati Masters 1990,7,Sergi Bruguera,0,9, 0
Cincinnati Masters 1990,7,Karel Novacek,0,10, 0
Cincinnati Masters 1990,7,Emilio Sanchez,0,11, 0
Cincinnati Masters 1990,7,Guy Forget,0,12, 0
Cincinnati Masters 1990,7,Pete Sampras,0,13, 0
Cincinnati Masters 1990,7,Goran Ivanisevic,0,14, 0
Cincinnati Masters 1990,7,Michael Stich,0,15, 0
Stockholm Masters 1990,8,Stefan Edberg,2,1, 2
Stockholm Masters 1990,8,Andre Agassi,1,2, 1
Stockholm Masters 1990,8,Andrei Chesnokov,1,3, 1
Stockholm Masters 1990,8,Juan Aguilera,1,4, 1
Stockholm Masters 1990,8,Thomas Muster,1,5, 1
Stockholm Masters 1990,8,Michael Chang,1,6, 1
Stockholm Masters 1990,8,Boris Becker,1,7, 1
Stockholm Masters 1990,8,Jim Courier,0,8, 0
Stockholm Masters 1990,8,Sergi Bruguera,0,9, 0
Stockholm Masters 1990,8,Karel Novacek,0,10, 0
Stockholm Masters 1990,8,Emilio Sanchez,0,11, 0
Stockholm Masters 1990,8,Guy Forget,0,12, 0
Stockholm Masters 1990,8,Pete Sampras,0,13, 0
Stockholm Masters 1990,8,Goran Ivanisevic,0,14, 0
Stockholm Masters 1990,8,Michael Stich,0,15, 0
Paris Masters 1990,9,Stefan Edberg,3,1, 3
Paris Masters 1990,9,Andre Agassi,1,2, 1
Paris Masters 1990,9,Andrei Chesnokov,1,3, 1
Paris Masters 1990,9,Juan Aguilera,1,4, 1
Paris Masters 1990,9,Thomas Muster,1,5, 1
Paris Masters 1990,9,Michael Chang,1,6, 1
Paris Masters 1990,9,Boris Becker,1,7, 1
Paris Masters 1990,9,Jim Courier,0,8, 0
Paris Masters 1990,9,Sergi Bruguera,0,9, 0
Paris Masters 1990,9,Karel Novacek,0,10, 0
Paris Masters 1990,9,Emilio Sanchez,0,11, 0
Paris Masters 1990,9,Guy Forget,0,12, 0
Paris Masters 1990,9,Pete Sampras,0,13, 0
Paris Masters 1990,9,Goran Ivanisevic,0,14, 0
Paris Masters 1990,9,Michael Stich,0,15, 0
Indian Wells Masters 1991,10,Stefan Edberg,3,1, 3
Indian Wells Masters 1991,10,Andre Agassi,1,2, 1
Indian Wells Masters 1991,10,Andrei Chesnokov,1,3, 1
Indian Wells Masters 1991,10,Juan Aguilera,1,4, 1
Indian Wells Masters 1991,10,Thomas Muster,1,5, 1
Indian Wells Masters 1991,10,Michael Chang,1,6, 1
Indian Wells Masters 1991,10,Boris Becker,1,7, 1
Indian Wells Masters 1991,10,Jim Courier,1,8, 1
Indian Wells Masters 1991,10,Sergi Bruguera,0,9, 0
Indian Wells Masters 1991,10,Karel Novacek,0,10, 0
Indian Wells Masters 1991,10,Emilio Sanchez,0,11, 0
Indian Wells Masters 1991,10,Guy Forget,0,12, 0
Indian Wells Masters 1991,10,Pete Sampras,0,13, 0
Indian Wells Masters 1991,10,Goran Ivanisevic,0,14, 0
Indian Wells Masters 1991,10,Michael Stich,0,15, 0
Miami Masters 1991,11,Stefan Edberg,3,1, 3
Miami Masters 1991,11,Andre Agassi,1,3, 1
Miami Masters 1991,11,Andrei Chesnokov,1,4, 1
Miami Masters 1991,11,Juan Aguilera,1,5, 1
Miami Masters 1991,11,Thomas Muster,1,6, 1
Miami Masters 1991,11,Michael Chang,1,7, 1
Miami Masters 1991,11,Boris Becker,1,8, 1
Miami Masters 1991,11,Jim Courier,2,2, 2
Miami Masters 1991,11,Sergi Bruguera,0,9, 0
Miami Masters 1991,11,Karel Novacek,0,10, 0
Miami Masters 1991,11,Emilio Sanchez,0,11, 0
Miami Masters 1991,11,Guy Forget,0,12, 0
Miami Masters 1991,11,Pete Sampras,0,13, 0
Miami Masters 1991,11,Goran Ivanisevic,0,14, 0
Miami Masters 1991,11,Michael Stich,0,15, 0
Monte Carlo Masters 1991,12,Stefan Edberg,3,1, 3
Monte Carlo Masters 1991,12,Andre Agassi,1,3, 1
Monte Carlo Masters 1991,12,Andrei Chesnokov,1,4, 1
Monte Carlo Masters 1991,12,Juan Aguilera,1,5, 1
Monte Carlo Masters 1991,12,Thomas Muster,1,6, 1
Monte Carlo Masters 1991,12,Michael Chang,1,7, 1
Monte Carlo Masters 1991,12,Boris Becker,1,8, 1
Monte Carlo Masters 1991,12,Jim Courier,2,2, 2
Monte Carlo Masters 1991,12,Sergi Bruguera,1,9, 1
Monte Carlo Masters 1991,12,Karel Novacek,0,10, 0
Monte Carlo Masters 1991,12,Emilio Sanchez,0,11, 0
Monte Carlo Masters 1991,12,Guy Forget,0,12, 0
Monte Carlo Masters 1991,12,Pete Sampras,0,13, 0
Monte Carlo Masters 1991,12,Goran Ivanisevic,0,14, 0
Monte Carlo Masters 1991,12,Michael Stich,0,15, 0
Hamburg Masters 1991,13,Stefan Edberg,3,1, 3
Hamburg Masters 1991,13,Andre Agassi,1,3, 1
Hamburg Masters 1991,13,Andrei Chesnokov,1,4, 1
Hamburg Masters 1991,13,Juan Aguilera,1,5, 1
Hamburg Masters 1991,13,Thomas Muster,1,6, 1
Hamburg Masters 1991,13,Michael Chang,1,7, 1
Hamburg Masters 1991,13,Boris Becker,1,8, 1
Hamburg Masters 1991,13,Jim Courier,2,2, 2
Hamburg Masters 1991,13,Sergi Bruguera,1,9, 1
Hamburg Masters 1991,13,Karel Novacek,1,10, 1
Hamburg Masters 1991,13,Emilio Sanchez,0,11, 0
Hamburg Masters 1991,13,Guy Forget,0,12, 0
Hamburg Masters 1991,13,Pete Sampras,0,13, 0
Hamburg Masters 1991,13,Goran Ivanisevic,0,14, 0
Hamburg Masters 1991,13,Michael Stich,0,15, 0
Rome Masters 1991,14,Stefan Edberg,3,1, 3
Rome Masters 1991,14,Andre Agassi,1,3, 1
Rome Masters 1991,14,Andrei Chesnokov,1,4, 1
Rome Masters 1991,14,Juan Aguilera,1,5, 1
Rome Masters 1991,14,Thomas Muster,1,6, 1
